,hasil
254, demi pemerataan pembangunan yg merara dan kesetaraan ibu kota pindah lanjut pindah pak
255, monggo ibu kota pindah karena bapak kota lagi sayembara nyari permaisuri kota baru 
256,pindah ibu kota karena lari dari masalah atau bisnis project its about a money 
257, masalah mengenai pindah ibu kota yg di bahas pak btp pada saat itu konteks karena macet di jakarta saja jadi kalau ditanya apakah btp setuju akan pemindahan ibu kota jwbn tidak jika alasan hanya menghindari macet ttp scara luas blum ada jawabanya mnrt saya mhn maap 
258, dia ini gk tau ya dulu rencana pemindahan ibukota negara udh di rencanakan dari masa presiden soekarno anda ini bisanya cuman ngomong kritik dan gk tau apa dan apa mungkin kmu pendukung prabowo dan ternyata prabowo juga pengen ibu kota indonesia pindah juga 
259, sebelum kalian beropini lebih lanjut mending dengerin diskusi ttg pindah ibu kota dulu nih worth it buat di denger biar ga cuma melihat dari satu sisi doang 
260, kayaknya dari berita yg gw pernah baca target awal pemerintahan pindah semua sampe man baru term berikutnya fungsi pendidikan cek sini deh 
261, wihhh sama dari ibu kota juga yg akan segera pindah hahaha jakarta mana nih 
262,yah oke fine aja mau pindah banyak negara yg pusat pemerintahan nya beda kota sama pusat ekonomi toh butuh waktu mungkin sampe taun jd harus dimulai kenapa aku peduli bgt sma ini karna besok pindahnya ibu kota bakal ngaruh ke penempatan ku 
263,antara esemka dan pindah ibu kota lebih mudah yg mana 
264, demi allah kami muslim kami tidak perlu fpi hti dan rizieg tolong tidak usah di dengar pak rizig mau pulang mau tidak tidak usah di dengar propaganda mereka pendukung bapak jauh lebih banyak tekat bulat ibu kota pindah
265, kenapa sih ibu kota harus di pindah kenapa bukan ibu kandung nya saja yang di ajak kejakarta 
266, semoga pak tidak usah menanggapi orang orang buser oposisi kita semua tahu prestasi mereka mereka pak presiden ambil keputusan cepat tidak usah dengar mereka lanjut ibu kota pindah demi pemerataan yg merata 
267,salah satu prioritas yg harus diperhatikan adalah bonus demografi lebih baik manfaatkan ini daripada pindah ibukota bonus demografi keadaan dlm suatu negara dimana masyarakat usia produktif lebih tinggi atau banyak dari pada masyarakat non produktif 
268, kota baru diputuskan jokowi pindah ke kaltim israan noor sebut ada peran adik prabowo tribun medan 
269, janji mu keperiwe jere nggatasi banjir kemanjet di ibu kota jakarta nkok di pindah manjet maning lik
270,ibu kota baru pindah ke kalimantan timur wagub warga harus siap kerja keras manfaatkan peluang 
271,usulnya bagus nih 
272,ribut pindah ibu kota sementara papua bergejolak elok warta ekonomi 
273, gada urgensi pindah ibu kota saya warga kaltim menolak 
274, wakkkkkk tul bang bukan ibu kota yg pindah tp otak mereka yg pindah 
275, kok ketua mpr bicara pindah ibu kota spt orang pindah rumah 
276,ibu kota pindah ke kalimantan utara lahan byk kosong dan lebih nyaman potensi unjuk rasa hanya rangutan 
277, setuju ibu kota pindah aman sentosa hindar dari bencana gempa dan banjir juga demo 
278,ibu kota pindah bagaimana nasib status daerah khusus ibu kota jakarta 
279, matangkan rencana pindah ibu kota negara lalu jalankan semangat 
280, jadi gini ya 
281,apapun yg dikatakan orang tentang absurdnya jakarta saya masih mempunyai seribu alesan untuk mencintai kota ini yaudah kalo ibu kota mau dipindah ya pindah aja sih gausah ngurusin generasi milenial milenial kontol yg cuma bisa mbacot tanpa mikirin solusi 
282,yth pak tim hore pindah ibu kota is ok bbrp negara juga pernah melakukannya jadi ini bukti bahwa kiita ga pernah menolak pindah ibu kota yg kita tolak adalah kualitas orang yg akan memindahkannya kalo kualitasnya kyk gini ya malah bahaya pak 
283,bukti kegagalan apasih ibu kota tuh cuma pusat pemerintahannya aja yang pindah not the entire thing of jakarta justru biar semuanya nggak ruwet di jakarta satu hal yang selalu diingat manusia hidup nggak mungkin bisa jadi seratus persen idealis atau realistis 
284,begini nasib jakarta jika ibu kota pindah 
285,tetiba mikir kan ibu kota mau di pindah apa nanti di masa depan bahasa gaul sehari hari orang indonesia bakal ganti yang asalnya lu lo gue jadi apa gitu 
286,apa dengan pindah nya ibu kota akan membuat keuangan negara stabil 
287,mau nanya gaes jadi ibu kota pindah dimana nih 
288, yaa solusinya pindah ibu kota
289, salah satu alasan penting jangan pindah ibu kota adalah pejabat belum siap hidup diluar kota megapolitan
290, pembelian mobil presiden dan mentri pindah ibu kota y mas lumayan tuh klo d buat buka lapangan kerja baru 
291, video ketua mpr pindah ibu kota sesuatu yang biasa 
292,ramai pesan jangan pindah ibu kota ramai di cfd 
293, contoh mau pindah ibu kota kan pak 
294,kompak itu datang dari nurani jika negara mau pindah ibu kota tak perlu asing yang harus mengaturnya lewat pemindahan ibu kota dari jakarta ke kalimantan 
295,jika besok ibu kota negara pindah ke kalimantan sebaiknya urus negara yang paling sederhana adalah menjadi kompak dan di ketahui publik bersinergi antara presiden dan mentrinya sehingga dapat perhatian dunia dengan pengetahuan yang benar 
296, gak substansi banget pindah ibu kota berapa triliun bu 
297,padahal wacana pindah ibu kota udh dr zaman soekarno 
298, emang puluhan tahun jadi wacana setiap presiden cuman jokowi yang berani memutuskan lagian pindah ibu kota emang dunia kiamat bambang 
299,sdm unggul indonesia maju generasi milenial menyambut dengan antusias menggantikan pns yg mengajukan pensiun dini ibukota baru butuh pns baru suasana baru pikiran baru merubah cara lama 
300,katanya minim bencana tapi kok ini gempa pertanda ga boleh pindah ibu kota negara ni pak
301,belum jadi ibu kota rumah dipinggir pantai menjadi isu terhangat karena katanya ada devloper yang akan menggusur semuanya katanya sih klw ibu kota pindah dikalimantan kita disni akan pindah ke jakarta 
302,wajib tahu kelebihan dan kekurangan ibu kota baru yang jadi pindah ke kalimantan timur 
303, eh monyet gw udah kaya gk kerja jg tanah kontrakan n kos an gw banyak ibu kota pindah besok jg gk ngaruh lu klo msih kerja n msih jdi recehan ikutin junjungan lu ya bkn level gw lah
304,pesan jangan pindah ibu kota disebut ramai di cfd 
305,dpr tunggu kajian ilmiah soal pindah ibu kota 
306,survei persen asn menolak ibu kota pindah ke kalimantan mereka berencana ajukan pensiun dini 
307,survei persen asn menolak ibu kota pindah ke kalimantan mereka berencana ajukan pensiun dini 
308, presiden sudah minta izin kepada rakyat untuk pemindahan ibu kota kajian pemindahan sudah ada tinggal ada enggak yang berani eksekusi presiden sudah membuka itu pemindahan ibu kota ujar arya sinulingga 
309,ketua mpr tak elok ribut pindah ibu kota tapi papua masih bergejolak 
310,ketua mpr tak elok ribut pindah ibu kota tapi papua masih bergejolak 
311, ketua mpr tak elok ribut pindah ibu kota tapi papua masih bergejolak 
312,berencana ajukan pensiun dini mayoritas asn ogah ibukota pindah ke kalimantan 
313,dana yang dibutuhkan t tapi efek ke pdb nasional diprediksi kurang dari trus aku kudu piye 
314,ketua mpr tak elok ribut pindah ibu kota tapi papua masih bergejolak 
315,hi guys akan membahas ada apa dengan jakarta gimana ya reaksinya marlo marco soal ibu kota pindah ke kalimantan ada jg none favorite jakarta selatan luna shabrina yg masuk di tonton keseruannya hari minggu pukul wib 
316,arya sinulingga founder bhinneka institute berpendapat kalau pemindahan ibu kota negara indonesia harus dipercepat guna mempercepat pemerataan infrastruktur 
317, milenial yg kritis cerdas dan objective memang justru mengkonfirmasi kegagalannya kalo alasan macet shg pindah ibu kota banyak janji kampanye yg tidak terwujud selama kepemimpinan beliau asooy
318, indonesia timur dan tengah setuju ibu kota pindah ke kalimantan mngkin yg tdk setuju org jakarta sj 
319,emil salim pemindahan ibukota bentuk pelarian tanggung jawab komen dg kondisi seperti ini tidak sepatutnya ngeyel pindah ibukota solusi tuntas negeri ini adl campakkan kapitalisme liberal dan kembali pada islam bukan pindah ibu kota 
320, bahkan apbn pun tidak dilibatkan bahkan undang pun tidak dilibatkan semuanya krn ambisi menjual negara ke pihak investor nanti akan terjadi guyuran fee kepada para penggagas dan pemberi wangsit ibu kota pindah 
321,ibu kota pindah ada bagusnya juga sih biar jakarta ga sumpek 
322, harus pindah ibu kota lumayan entar barangkali commitment fee gede loh
323,teras berita indef ibu kota pindah tidak otomatis kurangi ketimpangan ekonomi 
324, ha ha ha yang ada engga bisa mempertahankan ibu kota buktinya ibu kota mau pindah katanya 
325, baru uang yg t lebih untk pindah ibu kota itu tidak mas ferdinan permasalah kan mas sudah cebong jadi 
326, duh jokowi kerja kerja kerja tekor malah mau pindah ibu kota di saat ekonomi loyo klau lu yg jadi korban gak masalah soalnya rakyat yg jadi korban 
327, pak lebih baik uang pindah ibu kota buat rakyat indonesia aja pak apa tidak miris liat rakyat indonesia yg tidak mampu gotong mayat anak nya sendiri untuk di bawa pulang ini hanya sebagian contoh kecil dari mahal nya biaya di rs dan kesehatan di indonesia
328,ilc harus bermutu pindah ibu kota bukan berarti meninggalkan sejarah akan demi pemerataan dan keadilan berapa banyak sudah uang dari kalimantan di bawa ke pusat kembalinya sedikit jakarta dan jawa di bangun sementara kalimantan merana 
329,fadli z usul jajak pendapt pmindahan ibukota pakar tak ada dasar hkum prmohonan tulus amien r tdk pindah ibukota zonk ngotot tanpa dsr hkm vampir tua amien r provkatr ulung tumben ngemis ada apa 
330,negara aja bisa pindah ibu kota masak kamu ga berani pindah calon ibu mertua 
331,perbaikan ekonomi lebih prioritas daripada pindah ibu kota skala prioritas bangsa saat ini bukan memindahkan ibu kota ke kalimantan tetapi memulihkan perekonomian dan mengakrabkan kembali kehidupan antarwarganegara 
332,ibu kota pindah bagaimana nasib status daerah khusus ibu kota jakarta 
333, memang kapasitas otak mu kecil said tak kan mampu kamu bahkan hanya sekedar menganalisa proses pindah ibu kota ini terlalu berat bagimu biar saja karena hanya beliau yg mampu 
334, harusnya pemerintah pusat turun tangan menangani kebakaran hutan secara ibu kota mo di pindah ke sana 
335,pemerintah tampaknya kurang peka terhadap kesehatan masyarakat indonesia pemerintah malah tampak peka terhadap pemindahan ibu kota dari jakarta ke kalimantan drpd kepentingan bpjs kesehatan 
336,ketua mpr tak elok ribut pindah ibu kota tapi papua masih bergejolak 
337, jokowi mau ksih pindah ibu kota negara pake apa pak selesaikan dlu hutang bpjs jokowi klau jokowi cuman mau jual usaha negara mending mundur terhormaat saja pak
338,indonesia development monitoring idm melakukn survei terkait pemindahan ibu kota negara indonesia ke kaltim dri hasil survei tsb asn yg berupa tanya jawab itu menolak bila ibu kota pindah ke kaltim 
339, ide nya tak perlu hanya pindah ibu kota pindahkan otak sekolam nya ke daratan akal sehat 
340, kan solusinya di pindah ibu kota nya kalo soal polusi mantan gubernur yg dulu yg mau mindahin ny juga 
341,ibu kota pindah ke kaltim bagaimana kesiapan jaringan telkomsel 
342,kufur nikmah nih jok survei berencana ajukan pensiun dini mayoritas pns ogah ibu kota pindah ke kalimantan 
343,zulkifli hasan tak elok ribut pindah ibu kota kalau papua masih bergejolak 
344,pak jokowi mikir gak rp triliun daripada buat pindah ibu kota lebih baik untuk kesejahteraan papua 
345,pak jokowi mikir gak rp triliun daripada buat pindah ibu kota lebih baik untuk kesejahteraan papua 
346,ketua mpr tak elok kita ribut pindah ibu kota sementara papua masih bergejolak 
347, yakin om pak soekarno mw pindah ibu kota saat itu bil k pak jilik riwut 
348,kalo mau tau ibu kota mau dipindahin kemana cari aja dimana aguan beli tanah pindah ibukota itu tuker guling proyek reklamasi yg gagal
349,pak jokowi mikir gak rp triliun daripada buat pindah ibu kota lebih baik untuk kesejahteraan papua 
350, lbh cpt pindah ibu kota lbhbagus ngapai lama di pimpin wan abud gabernor seiman sengsara dki
351, ibu kota pindah yang di indonesiakan seluruh rakyat indonesia kalo ibu kota tetap jakarta yang di untungkan kelompok tertentu saja jasa demo bersilit silit para penjual agama dan pengangguran politik yang banyak bacot seperti fh fz dan kaum cabul pengikut hrs 
352,zulkifli hasan tak elok ribut pindah ibu kota kalau papua masih bergejolak 
353,masalah menumpuk semua penting ekonomi ancur keadilan sebagai mainan akhirnya kerja serabutan pindah ibu kota yang menjadi prioritas 
354,dpr tunggu kajian ilmiah soal pindah ibu kota 
355, statemen belum ada kayaknya ini lebih dipercaya karena dari bappenas 
356,pesan jangan pindah ibu kota disebut ramai di cfd via 
357, tidak ikut bangun monas senayan gelora bung karno mendadak mau gadai aset jakarta untuk alasan pindah ibu kota padahal pemerintah lagi bokek g punya duit buat gaji pegawai bisa aja lo 
358, ekonomi amburadul karena dibuat untuk itu biar ngutang sampai kebablasan lalu jual aset negara dengan alasan mau pindah ibu kota apa i itu bukan bangsaat 
359, alasan pindah ibu kota menunjukkan bahwa pemerintah tdk bisa mengatasi permasalahan penerintahan negri 
360,ketua mpr tak elok kita ribut pindah ibu kota sementara papua masih bergejolak 
361,pindah ibu kota dpr tunggu kajian ilmiah 
362, klo ibu kota pindah preman fpi kurang orderan 
363, apa dia masih idup kl ibu kota udh pindah 
364,sebaiknya pemerintahan mulai memikirkan penyegaran sebahagian asn lebih nasionalis di ibukota baru krn terbukti asn saat ini terlalu lambat n msh bermental feodal cc 
365, saya kira anda pintar rupanya bego apa susahnya pindah ibu kota lahan ada uang ada trs apa susahnya yg susah itu pindah ke lain hati 
366,pak jokowi mikir gak rp triliun daripada buat pindah ibu kota lebih baik untuk kesejahteraan papua 
367,perlukah ibu kota pindah saat ini 
368,pesan jangan pindah ibu kota disebut ramai di cfd 
369,ibu kota pindah monas pun akan dipindahkan 
370, ibu kota pindah dah kbayang bakal sepi kaya kota mati biar g da yg demo mngkin dri pda bikin ibu kota baru lbh baik buka lpangan pkrjaan buat parà pngangguran yg g pnya duit kbutuhan hidup mahal jokowi g mrasakan itu hatinya g peka sama rayat kcil
371,kita sudah bahas pindah ibu kota rizieq masih bicara ahok penista agama 
372,pak jokowi mikir gak rp triliun daripada buat pindah ibu kota lebih baik untuk kesejahteraan papua 
373,indef ibu kota pindah tidak otomatis kurangi ketimpangan ekonomi 
374,cocok deh pada pensiun dini biar si jae di kalimantan sendiri xixixixi 
375,ibu kota jd pindah ga si 
376,pesan tulus tapi isinya provokatif dungu bilang aja akan kehilangan panggung ente pak tua kalau ibu kota pindah gak mungkin ente harus ke kalimantan hanya untuk pimpin demo kan terus bohir akan cari korlap baru di sana terus ente dapat apes 
377,alasan pindah ibu kota nambah lagi yaitu makro ekonomi aneh juga ni bocah semua protes ekonomi amburadul ibu kota pindah termasuk prof emil salim prof rr cuma dia yang bilang pindah ibu kota untuk perbaikan ekonomi makro ni orang gue rasa gak sekolah 
378, jgn cuma mau pindah ibu kota negara aja jika pusat ekonomi khusus utk kalimantan gk segera secepatnya kemiskinan kalimantan semua kalimantan ingin maju induk kalimantan banjarmasin kalimantan selatan
379,kalo ibu kota pindah jkt pindah juga gitu 
380,dpr tunggu kajian ilmiah soal pindah ibu kota 
381,pak jokowi mikir gak rp triliun daripada buat pindah ibu kota lebih baik untuk kesejahteraan papua 
382,anda sdah melakukan apa utk negara ini pak andre jngan hnya bsa nyinyir klau anda sndiri blum tntu bsa atasi smua ini jokowi lbih thu apa yg trbaik utk dilakukn tak dukung ibu kota pindah gerindra bpjs ksehatan aja mnta tlong tiongkok 
383,pak jokowi ysh pentingan mana pindah ibu kota dari pada ngurus papua 
